

ROBOT 0
BrokenTimes, FixedTimes, CellsToGo, Mana
130,220,14,100.0
300,329,7,99.7997
770,818,1,97.798355
1290,1371,9,92.399506
1720,1756,7,51.798447
2290,2331,14,15.198542
2450,2521,6,19.398659
2770,2807,12,20.998846
2840,2869,8,22.198889
2930,2979,3,11.998963
3280,3320,2,23.199108
3430,3473,7,10.799184
3580,3625,7,18.199255
3710,3776,1,15.399359
3850,3888,3,15.59942
4020,4053,13,15.199461
4150,4182,6,18.399536
4590,4607,6,34.999687
4710,4741,13,18.999779
4790,4824,8,13.999808
4900,4945,2,15.799846
4970,5255,8,31.599981
5470,5506,1,26.799934
5790,5864,7,11.200071


ROBOT 1
BrokenTimes, FixedTimes, CellsToGo, Mana
20,352,26,93.79964
370,448,24,91.19937
470,707,21,97.79866
740,910,18,94.198105
940,1321,16,93.39964
1350,1415,14,90.39938
1430,1486,12,73.19919
1510,1574,11,58.998947
1610,1698,7,61.398605
1720,1797,4,49.198334
1820,1850,1,28.598263
1870,2087,17,21.398426
2110,2500,16,25.598644
2530,2661,14,24.598745
2690,2742,12,29.198801
2780,2910,9,19.398916
2950,3090,6,11.798988
3110,3172,4,16.599014
3190,3241,3,18.999054
3260,3341,2,16.999123
3360,3390,1,15.799151
3440,3594,7,22.599234
3610,3739,6,28.799334
3760,3843,3,17.399391
3870,3923,2,11.799432
3950,4209,15,13.399555
4240,4274,13,14.9995775
4300,4347,12,18.199614
4360,4637,11,30.399708
4670,4707,7,22.999756
4710,4871,6,12.399821
4890,5106,4,14.799895
5160,5385,25,34.99989
5400,5435,25,33.999886
5500,5522,20,19.599945
5550,5581,17,10.1999655
5620,5701,14,21.800013
5720,5766,13,13.600048


ROBOT 2
BrokenTimes, FixedTimes, CellsToGo, Mana
10,134,18,100.0
350,379,11,88.79956
420,477,7,86.39929
510,575,3,83.99902
650,732,9,92.19859
810,846,4,92.79828
940,970,15,94.99794
1010,1055,13,100.0
1190,1223,4,95.79991
1420,1460,11,78.39926
1560,1617,3,56.79883
1810,1874,16,22.99828
2120,2160,17,14.398463
2220,2267,11,13.798518
2350,2423,11,21.798592
2480,2557,7,15.998684
2650,2770,22,24.19882
2940,2956,8,17.798948
3010,3043,3,13.398978
3360,3441,15,14.999176
3540,3759,2,22.399347
3920,3976,16,11.399439
4120,4138,5,20.599506
4230,4373,10,12.799631
4420,4432,5,13.399647
4640,4655,11,23.59972
4730,4758,5,12.199791
4870,4985,19,12.999863
5010,5037,16,12.399875
5280,5348,4,38.39992
5420,5474,20,30.999912
5750,5820,17,13.200064
5960,5986,6,23.200123


ROBOT 3
BrokenTimes, FixedTimes, CellsToGo, Mana
10,272,9,99.39986
280,521,8,84.19917
550,1191,6,100.0
1200,1264,5,93.1998
1280,1437,4,84.39932
1450,1505,2,66.59914
1510,1547,2,64.19902
1560,1722,8,55.59854
1750,1809,6,41.3983
1810,1832,5,35.39825
1850,1935,4,23.998322
1940,1993,3,24.398361
2010,2047,1,24.198399
2050,2109,2,15.398441
2110,2234,1,17.798496
2250,5545,15,13.799961
5570,5724,13,16.000029
